country_code,country_name,classification,dci_increase,expected_reduction_tons,ci_lower,ci_upper,timeline_years,priority
ARG,Argentina,catch_up,0.5,-0.92,-1.14,-0.7,5,Sweet spot investment - maximize returns
ARG,Argentina,catch_up,1.0,-1.85,-2.28,-1.41,5,Sweet spot investment - maximize returns
ARG,Argentina,catch_up,1.5,-2.77,-3.43,-2.11,5,Sweet spot investment - maximize returns
ARG,Argentina,catch_up,2.0,-3.69,-4.57,-2.81,5,Sweet spot investment - maximize returns
AUS,Australia,leaders,0.5,-0.72,-0.9,-0.55,5,Sweet spot investment - maximize returns
AUS,Australia,leaders,1.0,-1.45,-1.8,-1.1,5,Sweet spot investment - maximize returns
AUS,Australia,leaders,1.5,-2.17,-2.69,-1.66,5,Sweet spot investment - maximize returns
AUS,Australia,leaders,2.0,-2.9,-3.59,-2.21,5,Sweet spot investment - maximize returns
AUT,Austria,leaders,0.5,-0.63,-0.78,-0.48,5,Sweet spot investment - maximize returns
AUT,Austria,leaders,1.0,-1.26,-1.56,-0.96,5,Sweet spot investment - maximize returns
AUT,Austria,leaders,1.5,-1.89,-2.34,-1.44,5,Sweet spot investment - maximize returns
AUT,Austria,leaders,2.0,-2.52,-3.12,-1.92,5,Sweet spot investment - maximize returns
BGD,Bangladesh,struggling,0.5,-0.48,-0.59,-0.36,5,Sweet spot investment - maximize returns
BGD,Bangladesh,struggling,1.0,-0.95,-1.18,-0.73,5,Sweet spot investment - maximize returns
BGD,Bangladesh,struggling,1.5,-1.43,-1.77,-1.09,5,Sweet spot investment - maximize returns
BGD,Bangladesh,struggling,2.0,-1.91,-2.36,-1.45,5,Sweet spot investment - maximize returns
BEL,Belgium,leaders,0.5,-0.63,-0.78,-0.48,5,Sweet spot investment - maximize returns
BEL,Belgium,leaders,1.0,-1.26,-1.56,-0.96,5,Sweet spot investment - maximize returns
BEL,Belgium,leaders,1.5,-1.89,-2.34,-1.44,5,Sweet spot investment - maximize returns
BEL,Belgium,leaders,2.0,-2.52,-3.12,-1.92,5,Sweet spot investment - maximize returns
BRA,Brazil,catch_up,0.5,-0.79,-0.97,-0.6,5,Sweet spot investment - maximize returns
