Country,Mean_CATE,CI_Lower,CI_Upper,Type
ARG,-1.7676565752499152,-1.863738579098693,-1.676194258768737,Strong Reduction
TUR,-1.921979064098349,-2.012556563169922,-1.8252828241704755,Strong Reduction
THA,-1.9627811390205097,-2.0252411749257506,-1.8910893306489052,Strong Reduction
CHN,-1.981524242616004,-2.1167568527438227,-1.8492408914905567,Strong Reduction
IRL,-2.0455229021789316,-2.2450821391088995,-1.8653603570344133,Strong Reduction
DEU,-2.057048948201823,-2.5814854655531723,-1.5296811064236222,Strong Reduction
BEL,-2.096245378640676,-2.5170602713054104,-1.6881678747798237,Strong Reduction
EGY,-2.1524949649991503,-2.2240405009175728,-2.080530685503472,Strong Reduction
NZL,-2.1770075629307586,-2.2825547971401883,-2.06323723299859,Strong Reduction
ZAF,-2.220540873197053,-2.2636217020729057,-2.1747712871815255,Strong Reduction
USA,-2.2221584327060175,-2.356049089328426,-2.0856446398559143,Strong Reduction
AUS,-2.2398384979176,-2.317093423309695,-2.1717286864068246,Strong Reduction
MYS,-2.256361544717731,-2.3446007432673177,-2.1741142889400336,Strong Reduction
SAU,-2.302529935399893,-2.441962484612376,-2.16882180135485,Strong Reduction
GBR,-2.3329974742673745,-2.5249475365764824,-2.1197691739007354,Strong Reduction
ESP,-2.4840136827407537,-2.784571848954746,-2.1935658017011654,Strong Reduction
JPN,-2.547826968464139,-2.5886867382192498,-2.518412608228842,Strong Reduction
MEX,-2.58681939252591,-2.729614288565309,-2.459222651595407,Strong Reduction
KOR,-2.709446571210262,-2.886563836943591,-2.5559881423954756,Strong Reduction
ITA,-2.7425872155987565,-3.0193840693058953,-2.4473679412264557,Strong Reduction
FRA,-3.4001392451793624,-3.6863925713942263,-3.1309333241409183,Strong Reduction
RUS,-4.100706133418291,-4.305944007928084,-3.8946149530163368,Strong Reduction
