sim_id,true_ate,est_ate,ci_lower,ci_upper,ci_width,covered,significant,success
0,-1.73,-1.7564889750255743,-2.0132200657385955,-1.499757884312553,0.5134621814260425,True,True,True
1,-1.73,-1.5575794602405941,-1.8872153760125039,-1.2279435444686846,0.6592718315438193,True,True,True
2,-1.73,-1.5084288489880835,-1.8037123417987349,-1.2131453561774324,0.5905669856213025,True,True,True
3,-1.73,-1.5152752239333092,-1.7871526285193569,-1.2433978193472617,0.5437548091720952,True,True,True
4,-1.73,-1.5253329979292756,-1.8208154514987187,-1.2298505443598324,0.5909649071388863,True,True,True
5,-1.73,-1.6910494842529349,-1.961633636607132,-1.4204653318987377,0.5411683047083944,True,True,True
6,-1.73,-1.6679584548311113,-1.9142711870866853,-1.4216457225755372,0.4926254645111481,True,True,True
7,-1.73,-1.645027899346132,-1.9403886327642814,-1.3496671659279826,0.5907214668362988,True,True,True
8,-1.73,-1.528662959701587,-1.823443387470071,-1.233882531933103,0.589560855536968,True,True,True
9,-1.73,-1.5460114378976066,-1.839251429947814,-1.2527714458473995,0.5864799841004145,True,True,True
10,-1.73,-1.6906895133101092,-1.9655324742449798,-1.4158465523752386,0.5496859218697412,True,True,True
11,-1.73,-1.8250053302488365,-2.0672159464876962,-1.5827947140099767,0.4844212324777195,True,True,True
12,-1.73,-1.536579043793392,-1.8088342992530846,-1.2643237883336993,0.5445105109193853,True,True,True
13,-1.73,-1.8090124139762438,-2.1043384440820585,-1.513686383870429,0.5906520602116294,True,True,True
14,-1.73,-1.7247447323805527,-2.0184282727572835,-1.4310611920038219,0.5873670807534617,True,True,True
15,-1.73,-1.8005020617839889,-2.0582430941643093,-1.5427610294036684,0.5154820647606408,True,True,True
16,-1.73,-1.7599475544573298,-2.1558079608440743,-1.3640871480705852,0.7917208127734892,True,True,True
17,-1.73,-1.7878095454625464,-2.1346595203952687,-1.4409595705298242,0.6936999498654446,True,True,True
18,-1.73,-1.661150904982837,-1.9830694695054663,-1.3392323404602078,0.6438371290452585,True,True,True
19,-1.73,-1.7046694257069503,-1.9887868326093425,-1.4205520188045582,0.5682348138047844,True,True,True
20,-1.73,-1.7248747335499872,-2.0031810906034413,-1.4465683764965331,0.5566127141069082,True,True,True
21,-1.73,-1.694101292927122,-2.031770542184883,-1.356432043669361,0.675338498515522,True,True,True
22,-1.73,-1.6982642907184038,-2.0410451110956656,-1.3554834703411425,0.6855616407545231,True,True,True
23,-1.73,-1.6153979770430391,-1.9051607787833664,-1.3256351753027118,0.5795256034806546,True,True,True
24,-1.73,-1.5983903381713502,-1.8949200819250451,-1.3018605944176553,0.5930594875073898,True,True,True
25,-1.73,-1.649128109250718,-1.9627814124690444,-1.3354748060323918,0.6273066064366526,True,True,True
26,-1.73,-1.5506611647255424,-1.894265239616331,-1.2070570898347537,0.6872081497815774,True,True,True
27,-1.73,-1.649795527545749,-1.9859862471958993,-1.3136048078955986,0.6723814393003007,True,True,True
28,-1.73,-1.5353422658556066,-1.8260460177655973,-1.2446385139456162,0.5814075038199811,True,True,True
29,-1.73,-1.8789743312337168,-2.152987110537539,-1.6049615519298945,0.5480255586076446,True,True,True
