Country,Mean_CATE,CI_Lower,CI_Upper
ARG,-1.7676565752499152,-1.8637385790986936,-1.676194258768737
AUS,-2.2398384979176,-2.317093423309695,-2.1717286864068255
AUT,-1.7204020113436558,-2.10547307554207,-1.3536858226263693
BEL,-2.096245378640676,-2.517060271305411,-1.6881678747798243
BGD,-0.969597425832289,-1.0389655913006097,-0.9007188823228605
BRA,-1.339207242654899,-1.4069876750565395,-1.2580376411969234
CAN,-0.5229019669056222,-0.6173426522277907,-0.44356638293424516
CHE,-0.5038391368407271,-0.5693088408821624,-0.44349740881527405
CHN,-1.9815242426160038,-2.1167568527438227,-1.8492408914905567
COL,-1.0992424891222055,-1.1638754327680771,-1.0331153845349985
DEU,-2.0570489482018224,-2.5814854655531727,-1.5296811064236222
DNK,-1.1851123292196513,-1.34240006781474,-1.0385429826689139
EGY,-2.1524949649991503,-2.2240405009175723,-2.0805306855034704
ESP,-2.484013682740754,-2.784571848954746,-2.193565801701165
FIN,-0.19247372420037975,-0.3862643644000733,-0.0700724748535101
FRA,-3.4001392451793624,-3.6863925713942267,-3.130933324140918
GBR,-2.3329974742673745,-2.524947536576482,-2.1197691739007354
IDN,-0.9218503774407794,-1.000387202447024,-0.8506717944944644
IND,-1.0596313047460413,-1.0716659069301946,-1.0497363734186147
IRL,-2.0455229021789316,-2.2450821391088995,-1.865360357034413
ITA,-2.7425872155987565,-3.019384069305895,-2.4473679412264553
JPN,-2.547826968464139,-2.5886867382192498,-2.518412608228842
KOR,-2.709446571210262,-2.8865638369435915,-2.5559881423954756
MEX,-2.5868193925259106,-2.729614288565309,-2.459222651595407
MYS,-2.256361544717731,-2.3446007432673177,-2.1741142889400336
NGA,-0.9837257360113181,-1.0368478457429677,-0.9311191201857104
NLD,-1.0727296526516084,-1.3736165851481954,-0.8223542911191393
NOR,-0.9678231038425772,-1.104335545194207,-0.8406525914136675
NZL,-2.1770075629307586,-2.2825547971401883,-2.06323723299859
PAK,-0.9493265037552564,-1.006147596841734,-0.8988892294982052
PER,-1.098698123560668,-1.1779004011979743,-1.0248093123053346
PHL,-0.9447825511690727,-0.9970808530187019,-0.8962344499987819
RUS,-4.100706133418291,-4.305944007928084,-3.894614953016336
SAU,-2.302529935399893,-2.4419624846123758,-2.1688218013548495
SWE,-0.4560457197623748,-0.5970278454668876,-0.2971455544671846
THA,-1.9627811390205099,-2.0252411749257506,-1.8910893306489052
TUR,-1.921979064098349,-2.0125565631699214,-1.825282824170476
USA,-2.2221584327060175,-2.356049089328426,-2.085644639855914
VNM,-0.9033685464664796,-1.0093602934935708,-0.8212755863969946
ZAF,-2.220540873197053,-2.2636217020729057,-2.174771287181525
